,RegionID,SizeRank,RegionType,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,City ,State,house_type,cost_percentile_range
0,394913,1,Msa,140565,141355,142038,143419,144711,146087,147558,149094,150695,152250,153735,155134,156492,158013,159501,161071,162557,164188,165808,167563,169338,171268,172999,174667,176375,178152,179936,181665,183458,185434,187566,190197,192994,195830,198326,200715,203081,205559,208296,210887,213493,216013,218730,221432,223877,226111,228123,230100,232260,234450,236812,239221,242049,245078,248305,251487,254848,258163,261372,264294,267136,269863,272757,276178,279876,283517,286903,290296,293632,296998,300043,303040,305548,308116,310256,312414,314276,316088,317223,317726,317585,316979,316121,315083,314079,313416,313399,313486,313407,312516,311255,309965,308679,307774,306755,305740,304966,304257,303204,301711,299431,297262,295004,292929,290714,288234,285756,283547,281340,279182,276980,274747,272861,270948,269177,267364,265955,264875,264140,263745,263667,263874,263746,263638,263409,263524,263514,263167,262388,261172,259777,258353,257383,256582,256022,255106,254168,252880,251590,250365,249200,248110,246850,245730,244745,243824,243077,242389,242071,241872,241618,241246,240910,240691,240776,241061,241576,242246,242943,243850,244876,246095,247325,248455,249489,250657,251913,253021,254211,255153,256429,257583,258802,259674,260168,260548,260863,261213,261389,261752,New York,NY,Condo,lower
1,753899,2,Msa,150920,151319,152080,153511,155108,156605,158164,159847,161438,162836,164145,165494,166475,167478,168613,170297,171974,173593,175279,177087,178842,180608,182151,183834,185173,186730,188583,190975,193649,196322,199730,203310,207056,210411,213755,216996,219636,222044,224814,227864,231717,234771,238957,243309,248336,252331,256219,260257,265016,270074,275589,282138,290301,298337,305552,311807,318709,325497,330193,334628,338381,343825,349283,355067,360298,365678,371820,378407,385020,392012,396868,401643,405696,409534,413257,416338,420559,423902,425718,427340,426680,427145,427026,427975,428568,428672,428078,427424,425549,423674,419889,415782,410823,405741,401730,396907,392906,386901,379560,369575,358983,349295,339892,331251,324589,318326,311855,303553,297519,293759,291081,288025,284985,281403,278748,277029,276377,276126,277230,280015,281075,280622,280856,282790,285548,285100,283631,280601,278174,275837,273680,273052,272686,273154,272087,271149,268032,267477,266712,265629,262882,260321,260016,260089,259790,259388,259037,259422,260208,261476,263213,264571,266093,268691,271650,276172,280271,286429,292436,299264,304917,310947,316455,322443,327403,331322,335374,338933,343157,345159,346471,346336,346964,347417,348356,347823,347893,348699,351000,353667,Los Angeles-Long Beach-Anaheim,CA,Condo,lower
2,394463,3,Msa,106839,107099,107422,108061,108714,109349,110033,110844,111711,112603,113395,114149,114839,115449,116144,116857,117708,118480,119223,120012,120814,121678,122358,122963,123473,124099,124845,125464,126156,126779,127626,128500,129379,130210,130783,131458,132075,132855,133558,134374,135082,135716,136278,137001,137867,138713,139431,140067,140863,141650,142439,143292,144230,145326,146330,147362,148239,149169,150083,151084,152030,153070,154120,155288,156454,157652,158752,159823,160949,162034,162967,163856,164710,165568,166425,167182,168013,168534,169014,169386,169723,169921,170081,170341,170773,171177,171467,171551,171485,171307,171016,170743,170240,169779,169298,168708,168061,,,164779,,163207,162668,160627,159397,157199,155492,153147,150508,148631,146696,145866,144398,143369,142250,141201,139514,138017,136653,136228,135528,135290,134386,134782,134376,134842,133286,132374,130651,129513,127566,125853,124239,123000,122178,121095,120521,119500,119146,118233,117419,115771,114770,113265,112502,111089,110844,110460,110540,110294,109677,109052,108383,108517,108678,108755,109103,109671,110207,110940,111669,112923,113930,115153,116082,117400,117975,118788,119166,119994,120454,120795,121319,122122,122839,123156,123520,123766,124127,124530,Chicago,IL,Condo,lower
3,394514,4,Msa,83372,83445,83482,83617,83773,83922,84093,84357,84662,84988,85299,85663,85835,85626,85465,85442,85651,85721,85800,86041,86234,86384,86432,86524,86604,86804,87061,87437,87779,88286,88730,89196,89526,89845,90137,90408,90641,90800,91004,91177,91316,91458,91542,91710,91878,92108,92293,92309,92861,93882,,96880,97644,97946,98092,98416,98693,98962,99140,99283,99869,100172,100503,100639,101014,101386,101599,101829,102072,102066,102140,102044,102097,102308,102578,103008,103453,103862,104073,104130,104306,104875,105237,105617,105407,105150,104869,105080,105458,105782,106030,106307,106719,106933,107053,107139,106461,105582,104518,104122,103791,103523,103363,102875,102141,101231,100497,100048,99635,99656,99702,99950,100087,100054,100056,99801,99698,99568,99904,100145,100067,99846,99624,99828,99912,99985,99611,98985,98154,97483,96882,96580,96248,95817,95403,94896,94574,94128,94010,93812,93796,93665,93592,93304,93035,93202,93490,93838,94092,94450,95004,95293,95536,95723,96154,96566,96969,97292,97815,98484,99248,100063,100899,101598,102389,103264,104268,105138,105671,106259,106813,107510,108239,109105,109616,110158,110598,111454,112459,113519,Dallas-Fort Worth,TX,Condo,lower
4,394974,5,Msa,75530,75779,75940,76326,76676,77033,77376,77688,78051,78400,78742,79054,79378,79746,80167,80613,81018,81436,81903,82421,82964,83459,83981,84402,84832,85256,85787,86373,86957,87616,88342,89231,90178,91114,91917,92726,93495,94304,95050,95918,96860,97921,99088,100325,101582,102686,103718,104610,105496,106387,107329,108367,109623,111144,112925,114854,116540,117892,119027,120330,121815,123058,124267,125506,127175,129034,131049,133002,134807,136514,138022,139442,140501,141506,142440,143614,144835,146092,147165,147912,148358,148612,148747,148857,148964,149178,149633,150043,150675,151067,151401,151286,150982,150832,150704,150567,150074,150000,149885,149929,149417,148720,147690,146636,145572,144682,143820,142924,141922,141189,140857,140734,140437,139926,139281,138737,138253,138033,138024,138018,138170,138227,138397,138547,138752,138865,138579,137822,136574,135264,134046,133096,132361,131876,131601,131018,130165,129002,127967,127068,126380,125799,125289,124821,124324,123821,123589,123492,123373,122982,122519,122067,121779,121509,121370,121246,121294,121356,121575,121883,122416,122968,123422,123673,123880,124102,124430,124686,125030,125325,125536,125455,125445,125483,125642,125619,125583,125556,125647,125837,Philadelphia,PA,Condo,lower
5,394692,6,Msa,79584,79632,79571,79666,79690,79832,79951,80157,80408,80567,80957,81324,81516,81504,81207,81118,81120,81309,81462,81473,81600,81788,81989,82129,82238,82405,82751,83217,83686,84066,84444,84865,85220,85473,85714,85942,86251,86454,86743,86912,87120,87297,87461,87665,87792,87944,88047,88260,88606,89336,,91474,92454,92721,93396,93771,94409,94945,95441,96041,96570,97126,97537,97893,98104,98309,98439,98523,98571,98568,98750,98878,99058,99036,99164,99383,99917,100342,100808,101171,101663,102173,102640,103096,103355,103350,103251,103453,103839,104311,104545,104855,105121,105398,105635,105856,105557,105202,104803,104757,104541,104242,103924,103341,102654,102123,101522,100902,100166,100006,99932,99995,100075,100344,100675,100730,100556,100245,100205,100327,100337,100371,100569,100951,101239,101169,100595,99647,98796,98186,97819,97423,96947,96478,95848,95377,94998,94818,94767,94650,94496,94252,93688,93286,93143,93383,93745,94008,94322,94535,94939,95306,95552,95544,95750,95991,96523,97139,98217,99371,100468,101326,102222,103140,104051,104984,105856,106693,107607,108633,109465,110143,110753,111712,112766,114001,115161,116191,117099,118039,Houston,TX,Condo,lower
6,395209,7,Msa,124497,124651,124885,125358,126007,126697,127580,128499,129470,130439,131422,132541,133514,134404,135338,136532,137902,139305,140728,142180,143608,144968,146396,147811,149126,150300,151579,153104,154909,156825,158911,161089,163188,165110,166755,168449,169975,171725,173499,175493,177593,179831,182191,184454,186810,189195,191416,193383,195213,197501,200057,203113,206519,210542,215202,219948,224711,228699,232203,235790,239730,243817,247840,252615,258029,263619,268913,273684,278347,282568,286048,289408,292271,295199,298139,300790,303073,304288,305152,305586,304893,303516,302424,301780,301292,300629,300227,300131,299568,298124,296152,294153,292475,290310,287809,284814,282054,279020,275610,271992,267580,263141,258327,253920,249529,245499,242224,239343,236179,232820,229551,226867,225008,223572,221806,219910,217920,216781,216376,216790,217635,218015,218527,219059,219868,219842,219196,218117,217160,216170,215022,214098,213641,213759,213819,213676,212936,212429,211502,210691,209433,208693,208625,208738,208902,209111,210046,210917,211633,212216,212902,213592,214185,215160,216670,218328,220034,221717,223348,225026,226579,228026,229437,230932,232946,234915,236834,238171,239458,240932,242195,243246,243469,243559,243680,243666,243907,244185,244632,244874,Washington,DC,Condo,lower
7,394856,8,Msa,69358,69617,69846,70301,70683,71077,71484,71908,72351,72784,73252,73756,74240,74763,75390,76095,76891,77693,78643,79699,80808,81927,82882,83787,84593,85393,86150,86987,87883,88834,89852,91004,92088,93134,94064,95246,96410,97637,98898,100261,101679,102964,104236,105556,106975,108357,109697,110872,112215,113467,114902,116323,118158,120165,122337,124631,126928,129204,131293,133570,135727,138093,140662,143521,146741,150174,154002,157698,161268,164378,167119,169576,172036,174246,176812,180046,183229,185989,187727,189018,189837,190192,190693,190857,190731,190392,189425,188220,186622,184952,182943,180750,178340,176307,173662,171146,167615,164544,160678,157341,153650,150575,146991,143124,138887,134717,130831,127402,124217,121493,118598,115990,113110,110785,108640,106801,105112,103922,103103,102201,101550,101127,101037,100750,100227,99295,98410,97422,96609,95435,94467,93592,92846,92138,91469,90979,90402,89791,89139,88745,88518,88456,88527,88594,88858,88956,89234,89541,90098,90740,91391,92260,93330,94378,95207,96162,97538,99175,100846,102523,104142,105502,107086,108762,110677,112455,114588,116639,118653,120034,121361,122046,122987,123658,124742,125596,126504,127470,128143,129045,Miami-Fort Lauderdale,FL,Condo,lower
8,394347,9,Msa,98029,98398,98772,99531,100267,100990,101684,102421,103182,103988,104728,105536,106285,107016,107648,108247,108880,109496,110107,110723,111323,111924,112482,113020,113516,114022,114490,114978,115407,115817,116155,116483,116825,117195,117535,117805,118081,118362,118696,118992,119263,119516,119753,120037,120316,120572,120782,121020,121242,121503,121768,122135,122481,122770,123017,123342,123702,124111,124439,124781,125137,125544,125956,126393,126893,127429,127893,128325,128749,129181,129603,130005,130428,130835,131162,131479,131762,132106,132477,132810,133065,133226,133353,133585,133808,134061,134317,134598,134863,134997,135082,134998,134739,134337,,133228,,131149,129815,128830,128020,127083,125964,124794,123583,122164,120111,117721,115303,113243,111372,109482,107684,106071,104693,103610,102597,101751,100953,100458,99801,99247,98770,98783,98862,98742,97876,96667,95112,93879,92524,91307,90008,89043,88055,86911,85331,83845,82716,82208,82117,82153,82030,81341,80860,80430,80914,81444,82169,82832,83562,84074,84189,84408,85015,85837,86843,87974,89295,90492,91814,93201,94582,96070,97607,99226,100678,102159,103291,104317,105119,106100,107017,107879,108743,109480,110204,110846,111527,112197,Atlanta,GA,Condo,lower
9,394404,10,Msa,149931,150728,151535,152902,154282,155733,157671,159994,162509,165081,167606,170128,172358,174410,176506,178780,180973,183198,185520,188014,190523,193276,195924,198310,200153,201799,203569,205482,207436,209402,211458,213809,216408,219769,222871,225806,227896,230205,232646,235323,237906,240037,241552,242964,244558,246320,248096,249825,251634,253522,255518,257654,259681,261569,263440,265357,267685,269938,272207,273966,275609,277712,279823,282249,284335,285544,286402,286598,287676,288461,289230,289225,289173,288420,287954,287713,287486,286889,285181,283793,281842,280134,278052,276559,275614,275060,274774,274226,273638,272806,271861,270792,269579,268044,266407,264741,263193,261537,259987,258538,257074,255430,253541,251617,249549,247224,245064,243008,241497,239944,238225,236774,236117,235927,235633,235111,234722,234552,234703,235476,236534,237771,238525,239287,239601,239884,239571,239199,237997,236854,235661,235353,234938,234186,232982,232135,231273,230827,229932,229052,227751,226562,225432,224587,223746,223413,223581,224103,224745,225152,225798,226157,226564,227342,228586,230164,230934,232493,234515,237427,239777,241492,243018,244618,246546,248306,249810,251039,252431,253614,254887,256251,257576,258801,259761,260467,260768,260751,261131,262382,Boston,MA,Condo,lower
